source,document_name,url,raw_file,processed_file,ingested_at
airflow,concepts,https://airflow.apache.org/docs/apache-airflow/stable/core-concepts/index.html,C:\Users\harik\Projects\mlops-knowledge-platform\data\raw\airflow\concepts.html,C:\Users\harik\Projects\mlops-knowledge-platform\data\processed\airflow\concepts.txt,2026-07-02 14:02:32.805819
airflow,dags,https://airflow.apache.org/docs/apache-airflow/stable/core-concepts/dags.html,C:\Users\harik\Projects\mlops-knowledge-platform\data\raw\airflow\dags.html,C:\Users\harik\Projects\mlops-knowledge-platform\data\processed\airflow\dags.txt,2026-07-02 14:02:32.805819
airflow,operators,https://airflow.apache.org/docs/apache-airflow/stable/howto/custom-operator.html,C:\Users\harik\Projects\mlops-knowledge-platform\data\raw\airflow\operators.html,C:\Users\harik\Projects\mlops-knowledge-platform\data\processed\airflow\operators.txt,2026-07-02 14:02:32.805819
airflow,scheduling,https://airflow.apache.org/docs/apache-airflow/stable/authoring-and-scheduling/index.html,C:\Users\harik\Projects\mlops-knowledge-platform\data\raw\airflow\scheduling.html,C:\Users\harik\Projects\mlops-knowledge-platform\data\processed\airflow\scheduling.txt,2026-07-02 14:02:32.805819
